Sample_ID,Region,Depth,Month,Year,Site_ID,Lat,Long,Sorting_Method,WGA_Approach,Status,Primary_Tax_Method,Target_Region,Taxonomy,Plot_Taxa,Cluster_ID,O2_Content,Oxy_Type,OMZ_Phenotype,Topography,Completeness,Contamination,Strain_heterogeneity,Assembly_Length,Assembly_Length_MBP,Number_of_contigs,N50_Contigs,Mean_contig_length_(bp),Longest_contig_(bp),GC,Temperature_(ºC),Salinity_(psu),[O2]_(uM),[NO3-]_(uM),[NO2-]_(uM),[NH3]_(uM)
AG-487_P01,ESPCU_1,80,Mar,2015,ESPCU_1_80_Mar_2015,-36.45,-73,DNA,MDA,Not sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;uncultured bacterium,,,0.21,Anoxic,AMZ,Coastal_Upwelling,,,,,,,,,,,11.319,34.514,0.21,19.717,0.481,
AG-487_P03,ESPCU_1,80,Mar,2015,ESPCU_1_80_Mar_2015,-36.45,-73,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;OM182 clade;uncultured gamma proteobacterium,,,0.21,Anoxic,AMZ,Coastal_Upwelling,53.64,0.37,0,2089884,2.089884,73,46751,28625,120910,47.89,11.319,34.514,0.21,19.717,0.481,
AG-487_P07,ESPCU_1,80,Mar,2015,ESPCU_1_80_Mar_2015,-36.45,-73,DNA,MDA,Not sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;uncultured marine microorganism,,,0.21,Anoxic,AMZ,Coastal_Upwelling,,,,,,,,,,,11.319,34.514,0.21,19.717,0.481,
AG-487_P09,ESPCU_1,80,Mar,2015,ESPCU_1_80_Mar_2015,-36.45,-73,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;SUP05 cluster;uncultured marine bacterium,,,0.21,Anoxic,AMZ,Coastal_Upwelling,36.42,0,0,468315,0.468315,11,108056,42574,141372,36.38,11.319,34.514,0.21,19.717,0.481,
AG-487_P16,ESPCU_1,80,Mar,2015,ESPCU_1_80_Mar_2015,-36.45,-73,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;SUP05 cluster;uncultured bacterium,,,0.21,Anoxic,AMZ,Coastal_Upwelling,14.29,0,0,229094,0.229094,13,16761,17622,32696,36.48,11.319,34.514,0.21,19.717,0.481,
AG-487_P18,ESPCU_1,80,Mar,2015,ESPCU_1_80_Mar_2015,-36.45,-73,DNA,MDA,Sequenced,16S,V1-V5,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidetes VC2.1 Bac22;uncultured bacterium,,,0.21,Anoxic,AMZ,Coastal_Upwelling,56.11,0,0,1616199,1.616199,38,59897,42525,162922,34.16,11.319,34.514,0.21,19.717,0.481,
AG-487_P20,ESPCU_1,80,Mar,2015,ESPCU_1_80_Mar_2015,-36.45,-73,DNA,MDA,Not sequenced,16S,V1-V5,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;uncultured bacterium,,,0.21,Anoxic,AMZ,Coastal_Upwelling,,,,,,,,,,,11.319,34.514,0.21,19.717,0.481,
AG-487_P23,ESPCU_1,80,Mar,2015,ESPCU_1_80_Mar_2015,-36.45,-73,DNA,MDA,Sequenced,16S,V3-V5,Archaea;Euryarchaeota;Thermoplasmata;Marine Group II;uncultured archaeon,,,0.21,Anoxic,AMZ,Coastal_Upwelling,32.11,0,0,508252,0.508252,23,38527,22093,53171,43.57,11.319,34.514,0.21,19.717,0.481,
AD-598_A14,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,35.34,0,0,839052,0.839052,77,32248,10896,111033,48.59,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_A18,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,31.03,0.86,100,679929,0.679929,87,16391,7815,98617,48.14,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_A20,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,26.72,0,0,768501,0.768501,44,47336,17465,140182,48.88,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_B06,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,22.41,0,0,673389,0.673389,47,37365,14327,94055,48.64,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_C06,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,35.19,0,0,859394,0.859394,61,34748,14088,134152,48.5,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_D04,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured marine cyanobacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,0,0,0,250459,0.250459,28,16578,8944,53617,46.64,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_D09,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_D21,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured marine cyanobacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,31.38,0,0,610806,0.610806,64,43644,9543,106207,48.65,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_D22,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;marine metagenome,,,1.526,Suboxic,AMZ,Coastal_Upwelling,31.58,,0,307044,0.307044,19,29115,16160,64555,39.31,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_E21,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,13.79,0,0,279858,0.279858,21,25443,13326,58159,48.79,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_E22,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcus Marinus str. MIT 9303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,4.17,0,0,162500,0.1625,16,24402,10156,58936,47.23,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_F05,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,20.69,0,0,525619,0.525619,65,26573,8086,60861,48.2,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_G05,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_G13,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_G19,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;uncultured delta proteobacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,17.24,0,0,1046651,1.046651,93,20220,11254,59457,52.82,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_I02,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured marine cyanobacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,22.41,0,0,614205,0.614205,51,31020,12043,116546,49.55,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_I07,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured marine cyanobacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_I13,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,0,0,0,106694,0.106694,12,20189,8891,49105,49.34,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_K13,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,18.97,3.45,0,499931,0.499931,63,19272,7935,80150,46.64,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_L02,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,12.07,0,0,423074,0.423074,35,31228,12087,89254,48.17,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_L04,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_M11,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_N06,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_N11,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_N22,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,12.07,1.72,0,445781,0.445781,52,15707,8572,43732,48.09,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_O19,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_P08,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,18.97,0,0,409223,0.409223,32,26158,12788,76046,47.95,13.995,34.7814,1.526,16.25,4.19,NaN
AD-598_P19,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,CHL,MDA,Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;Prochlorococcussp. MIT 1303,,,1.526,Suboxic,AMZ,Coastal_Upwelling,13.79,1.72,0,367900,0.3679,49,20024,7508,68981,48.32,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_B02,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_C03,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_C19,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_D07,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_E02,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_F04,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_F13,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_F19,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_G04,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_G05,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_G09,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_G13,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_I04,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_I20,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_J10,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_J15,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_J16,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured Synechococcus sp.,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_J23,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_K04,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_K14,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_K15,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_L15,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_L20,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_L23,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_N06,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_N09,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_O05,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_O07,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
AD-858_P02,ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,PHYCO,MDA,Not Sequenced,16S,V1-V5,Bacteria;Cyanobacteria;Oxyphotobacteria;Synechococcales;Cyanobiaceae;Synechococcus CC9902;uncultured bacterium,,,1.526,Suboxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.995,34.7814,1.526,16.25,4.19,NaN
ETNP_125m_186_A10,ETNP,125,Jun,2013,ETNP_125_Jun_2013,18.9,-104.5,DNA,MDA,Not Sequenced,16S,V6-V8,Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;JL-ETNP-F27;uncultured bacterium,,,0.012,Anoxic,AMZ,Coastal_Upwelling,,,,,,,,,,,13.45,34.8,0.012,15.48,6.06,NaN
